episode,score,avg_score,avg_actor_loss,avg_critic_loss,avg_total_loss,steps  taken
0,200.0,0,0,0,0,426
1,100.0,200.0,0,0,0,888
2,300.0,150.0,0,0,0,1352
3,200.0,200.0,0,0,0,1824
4,0.0,200.0,-0.25729409847408535,17.043723768718426,8.264567785885125,2272
5,0.0,160.0,-0.25729409847408535,17.043723768718426,8.264567785885125,2716
6,0.0,133.33333333333334,-0.25729409847408535,17.043723768718426,8.264567785885125,3160
7,100.0,114.28571428571429,-0.25729409847408535,17.043723768718426,8.264567785885125,3588
8,100.0,112.5,-0.25729409847408535,17.043723768718426,8.264567785885125,4045
9,500.0,111.11111111111111,-0.28883111048489807,5.9135657616551205,2.667951770342662,4525
10,300.0,150.0,-0.28883111048489807,5.9135657616551205,2.667951770342662,4942
11,1400.0,163.63636363636363,-0.28883111048489807,5.9135657616551205,2.667951770342662,5508
12,0.0,266.6666666666667,-0.28883111048489807,5.9135657616551205,2.667951770342662,5914
13,1000.0,246.15384615384616,-0.6771923445165158,5.445500121012987,2.045557715989978,6464
14,0.0,300.0,-0.6771923445165158,5.445500121012987,2.045557715989978,6889
15,200.0,280.0,-0.6771923445165158,5.445500121012987,2.045557715989978,7303
16,1500.0,275.0,-0.6771923445165158,5.445500121012987,2.045557715989978,7842
17,1600.0,347.05882352941177,-0.9942904118448496,4.42083208260311,1.2161256294567067,8520
18,100.0,416.6666666666667,-0.9942904118448496,4.42083208260311,1.2161256294567067,8987
19,0.0,400.0,-0.9942904118448496,4.42083208260311,1.2161256294567067,9437
20,500.0,380.0,-0.9942904118448496,4.42083208260311,1.2161256294567067,9912
21,0.0,385.7142857142857,-0.9215132801793515,4.034612370401264,1.0957929050212802,10350
22,1900.0,368.1818181818182,-0.9215132801793515,4.034612370401264,1.0957929050212802,11007
23,2400.0,434.7826086956522,-0.9215132801793515,4.034612370401264,1.0957929050212802,11811
24,2000.0,516.6666666666666,-1.2707411462441087,2.6755264343863603,0.06702207094907224,12461
25,1000.0,576.0,-1.2707411462441087,2.6755264343863603,0.06702207094907224,12973
26,1300.0,592.3076923076923,-1.2707411462441087,2.6755264343863603,0.06702207094907224,13539
27,900.0,618.5185185185185,-1.2707411462441087,2.6755264343863603,0.06702207094907224,14079
28,1600.0,628.5714285714286,-1.2492621053941548,2.5150380227988354,0.008256906005261926,14686
29,400.0,662.0689655172414,-1.2492621053941548,2.5150380227988354,0.008256906005261926,15166
30,400.0,653.3333333333334,-1.2492621053941548,2.5150380227988354,0.008256906005261926,15587
31,0.0,645.1612903225806,-1.2492621053941548,2.5150380227988354,0.008256906005261926,16003
32,1000.0,625.0,-1.0186074005439878,3.336345640398578,0.6495654196553013,16578
33,0.0,636.3636363636364,-1.0186074005439878,3.336345640398578,0.6495654196553013,17028
34,1000.0,617.6470588235294,-1.0186074005439878,3.336345640398578,0.6495654196553013,17531
35,1600.0,628.5714285714286,-1.0186074005439878,3.336345640398578,0.6495654196553013,18171
36,1000.0,655.5555555555555,-1.3401017803698778,2.8480595781281783,0.0839280086942111,18705
37,1000.0,664.8648648648649,-1.3401017803698778,2.8480595781281783,0.0839280086942111,19225
38,900.0,673.6842105263158,-1.3401017803698778,2.8480595781281783,0.0839280086942111,19749
39,2100.0,679.4871794871794,-1.3401017803698778,2.8480595781281783,0.0839280086942111,20442
40,500.0,715.0,-1.3563065292313694,2.0655732793246115,-0.3235198895690635,20911
41,900.0,709.7560975609756,-1.3563065292313694,2.0655732793246115,-0.3235198895690635,21364
42,900.0,714.2857142857143,-1.3563065292313694,2.0655732793246115,-0.3235198895690635,21857
43,700.0,718.6046511627907,-1.3563065292313694,2.0655732793246115,-0.3235198895690635,22359
44,1300.0,718.1818181818181,-1.2213801034726202,3.1903492832079676,0.3737945381313622,22927
45,500.0,731.1111111111111,-1.2213801034726202,3.1903492832079676,0.3737945381313622,23399
46,2000.0,726.0869565217391,-1.2213801034726202,3.1903492832079676,0.3737945381313622,24171
47,1500.0,753.1914893617021,-1.3500863336957991,2.4779497297684925,-0.11111146881155183,24777
48,500.0,768.75,-1.3500863336957991,2.4779497297684925,-0.11111146881155183,25211
49,300.0,763.265306122449,-1.3500863336957991,2.4779497297684925,-0.11111146881155183,25669
50,2900.0,754.0,-1.3500863336957991,2.4779497297684925,-0.11111146881155183,26416
51,1000.0,796.0784313725491,-1.505887941736728,2.263608013981871,-0.3740839347457925,26979
52,400.0,800.0,-1.505887941736728,2.263608013981871,-0.3740839347457925,27390
53,800.0,792.4528301886793,-1.505887941736728,2.263608013981871,-0.3740839347457925,27863
54,0.0,792.5925925925926,-1.505887941736728,2.263608013981871,-0.3740839347457925,28286
55,1500.0,778.1818181818181,-1.0942279782146216,3.4765601837331594,0.6440521136519586,28835
56,1500.0,791.0714285714286,-1.0942279782146216,3.4765601837331594,0.6440521136519586,29434
57,2300.0,803.5087719298245,-1.0942279782146216,3.4765601837331594,0.6440521136519586,30203
58,500.0,829.3103448275862,-1.0942279782146216,3.4765601837331594,0.6440521136519586,30662
59,1100.0,823.728813559322,-1.2530492305755616,2.106680140928005,-0.19970916011155965,31265
60,1700.0,828.3333333333334,-1.2530492305755616,2.106680140928005,-0.19970916011155965,31896
61,1500.0,842.6229508196722,-1.2530492305755616,2.106680140928005,-0.19970916011155965,32504
62,1200.0,853.2258064516129,-1.6341242873109878,2.056660339224894,-0.6057941176985406,33073
63,1400.0,858.7301587301587,-1.6341242873109878,2.056660339224894,-0.6057941176985406,33625
64,2000.0,867.1875,-1.6341242873109878,2.056660339224894,-0.6057941176985406,34332
65,1500.0,884.6153846153846,-1.6119089256040753,1.56803979863975,-0.8278890262841999,34987
66,900.0,893.939393939394,-1.6119089256040753,1.56803979863975,-0.8278890262841999,35521
67,900.0,894.0298507462686,-1.6119089256040753,1.56803979863975,-0.8278890262841999,36093
68,700.0,894.1176470588235,-1.6119089256040753,1.56803979863975,-0.8278890262841999,36646
69,900.0,891.304347826087,-1.45338026098907,3.2746714522657476,0.18395546514380515,37214
70,400.0,891.4285714285714,-1.45338026098907,3.2746714522657476,0.18395546514380515,37691
71,1200.0,884.5070422535211,-1.45338026098907,3.2746714522657476,0.18395546514380515,38287
72,1300.0,888.8888888888889,-1.45338026098907,3.2746714522657476,0.18395546514380515,38877
73,800.0,894.5205479452055,-1.4725825336761773,2.3448482072095183,-0.30015843007141746,39343
74,1000.0,893.2432432432432,-1.4725825336761773,2.3448482072095183,-0.30015843007141746,39865
75,900.0,894.6666666666666,-1.4725825336761773,2.3448482072095183,-0.30015843007141746,40331
76,900.0,894.7368421052631,-1.4725825336761773,2.3448482072095183,-0.30015843007141746,40786
77,1300.0,894.8051948051948,-1.13708824692294,2.001754805969695,-0.13621084393809207,41321
78,1500.0,900.0,-1.13708824692294,2.001754805969695,-0.13621084393809207,41929
79,900.0,907.5949367088608,-1.13708824692294,2.001754805969695,-0.13621084393809207,42515
80,1300.0,907.5,-1.6759590094909071,1.9269033515907033,-0.7125073336955553,43133
81,600.0,912.3456790123457,-1.6759590094909071,1.9269033515907033,-0.7125073336955553,43707
82,0.0,908.5365853658536,-1.6759590094909071,1.9269033515907033,-0.7125073336955553,44189
83,1500.0,897.5903614457832,-1.6759590094909071,1.9269033515907033,-0.7125073336955553,44815
84,1000.0,904.7619047619048,-1.1823816783726215,2.385098876136818,0.010167759695787506,45321
85,900.0,905.8823529411765,-1.1823816783726215,2.385098876136818,0.010167759695787506,45823
86,500.0,905.8139534883721,-1.1823816783726215,2.385098876136818,0.010167759695787506,46306
87,0.0,901.1494252873563,-1.1823816783726215,2.385098876136818,0.010167759695787506,46751
88,500.0,890.9090909090909,-1.2599569907411934,2.5418835748281614,0.01098479667288788,47248
89,200.0,886.5168539325842,-1.2599569907411934,2.5418835748281614,0.01098479667288788,47725
90,500.0,878.8888888888889,-1.2599569907411934,2.5418835748281614,0.01098479667288788,48207
91,300.0,874.7252747252747,-1.2599569907411934,2.5418835748281614,0.01098479667288788,48675
92,500.0,868.4782608695652,-1.0032702697440983,4.223472582709403,1.1084660216106024,49195
93,400.0,864.516129032258,-1.0032702697440983,4.223472582709403,1.1084660216106024,49658
94,600.0,859.5744680851063,-1.0032702697440983,4.223472582709403,1.1084660216106024,50137
95,500.0,856.8421052631579,-1.0032702697440983,4.223472582709403,1.1084660216106024,50609
96,1200.0,853.125,-1.395867472141981,2.2402431406251866,-0.2757459018293872,51270
97,0.0,856.7010309278351,-1.395867472141981,2.2402431406251866,-0.2757459018293872,51715
98,1100.0,847.9591836734694,-1.395867472141981,2.2402431406251866,-0.2757459018293872,52338
99,0.0,850.5050505050505,-1.395867472141981,2.2402431406251866,-0.2757459018293872,52765
100,1000.0,842.0,-0.8616768173873425,2.9403808939561884,0.608513629590753,53304
101,1000.0,850.0,-0.8616768173873425,2.9403808939561884,0.608513629590753,53806
102,500.0,859.0,-0.8616768173873425,2.9403808939561884,0.608513629590753,54282
103,800.0,861.0,-0.8616768173873425,2.9403808939561884,0.608513629590753,54801
104,1000.0,867.0,-0.9505272724665701,2.454117379914547,0.2765314174907029,55359
105,1200.0,877.0,-0.9505272724665701,2.454117379914547,0.2765314174907029,55919
106,1300.0,889.0,-0.9505272724665701,2.454117379914547,0.2765314174907029,56529
107,0.0,902.0,-0.9505272724665701,2.454117379914547,0.2765314174907029,56982
108,500.0,901.0,-1.0622665982693433,2.0751919625413255,-0.02467061699868091,57459
109,1000.0,905.0,-1.0622665982693433,2.0751919625413255,-0.02467061699868091,57984
110,1000.0,910.0,-1.0622665982693433,2.0751919625413255,-0.02467061699868091,58509
111,1400.0,917.0,-1.0622665982693433,2.0751919625413255,-0.02467061699868091,59111
112,600.0,917.0,-1.1271420758217574,1.9193253539085948,-0.16747939886746005,59591
113,1500.0,923.0,-1.1271420758217574,1.9193253539085948,-0.16747939886746005,60147
114,1400.0,928.0,-1.1271420758217574,1.9193253539085948,-0.16747939886746005,60760
115,2000.0,942.0,-1.0122751319780945,1.6049826837595726,-0.2097837900983087,61471
116,900.0,960.0,-1.0122751319780945,1.6049826837595726,-0.2097837900983087,61977
117,1500.0,954.0,-1.0122751319780945,1.6049826837595726,-0.2097837900983087,62538
118,1600.0,953.0,-1.0122751319780945,1.6049826837595726,-0.2097837900983087,63206
119,1500.0,968.0,-1.3209818713366985,1.480981140453045,-0.5804913011101762,63818
120,1000.0,983.0,-1.3209818713366985,1.480981140453045,-0.5804913011101762,64377
121,500.0,988.0,-1.3209818713366985,1.480981140453045,-0.5804913011101762,64853
122,1000.0,993.0,-1.3209818713366985,1.480981140453045,-0.5804913011101762,65376
123,1000.0,984.0,-0.9129741643555462,1.8025806450451056,-0.011683841832993641,65894
124,0.0,970.0,-0.9129741643555462,1.8025806450451056,-0.011683841832993641,66347
125,500.0,950.0,-0.9129741643555462,1.8025806450451056,-0.011683841832993641,66823
126,500.0,945.0,-0.9129741643555462,1.8025806450451056,-0.011683841832993641,67310
127,900.0,937.0,-0.8000340299680829,3.22826167566189,0.8140968078628614,67814
128,1000.0,937.0,-0.8000340299680829,3.22826167566189,0.8140968078628614,68358
129,500.0,931.0,-0.8000340299680829,3.22826167566189,0.8140968078628614,68834
130,1300.0,932.0,-0.8000340299680829,3.22826167566189,0.8140968078628614,69400
131,0.0,941.0,-0.8676173432730139,1.9819533184625382,0.1233593159582548,69848
132,0.0,941.0,-0.8676173432730139,1.9819533184625382,0.1233593159582548,70295
133,1500.0,931.0,-0.8676173432730139,1.9819533184625382,0.1233593159582548,71091
134,500.0,946.0,-0.9851625500246882,3.3637478756109815,0.6967113877808049,71742
135,600.0,941.0,-0.9851625500246882,3.3637478756109815,0.6967113877808049,72215
136,1900.0,931.0,-0.9851625500246882,3.3637478756109815,0.6967113877808049,72972
137,100.0,940.0,-0.9851625500246882,3.3637478756109815,0.6967113877808049,73418
138,1000.0,931.0,-0.9557478280737997,2.872129810929569,0.4803170773909843,74017
