episode,score,avg_score,avg_actor_loss,avg_critic_loss,avg_total_loss,steps  taken
0,3000.0,0,0,0,0,1030
1,3740.0,3000.0,-2.2078384522348644,1.0528696903990789,-1.681403607035326,2286
2,3870.0,3370.0,-2.2078384522348644,1.0528696903990789,-1.681403607035326,3358
3,3900.0,3536.6666666666665,-2.5724865569733084,1.0134350650283306,-2.065769024459143,4362
4,3680.0,3627.5,-2.5724865569733084,1.0134350650283306,-2.065769024459143,5803
5,3290.0,3638.0,-2.3535360609181226,1.194752520438271,-1.7561598006989876,6706
6,3700.0,3580.0,-2.3535360609181226,1.194752520438271,-1.7561598006989876,7852
7,3260.0,3597.1428571428573,-2.0038475219160317,0.9646383482657092,-1.521528347783177,8963
8,2900.0,3555.0,-2.0038475219160317,0.9646383482657092,-1.521528347783177,9665
9,2740.0,3482.222222222222,-2.010086642485112,0.8152358773685325,-1.6024687038008463,10510
10,3540.0,3408.0,-2.010086642485112,0.8152358773685325,-1.6024687038008463,11547
11,3600.0,3420.0,-2.1882681330665945,0.9519752513926447,-1.7122805073702723,12629
12,4720.0,3435.0,-2.1882681330665945,0.9519752513926447,-1.7122805073702723,13973
13,3180.0,3533.846153846154,-2.5062172189354897,1.1343663484005704,-1.9390340447352052,14810
14,2930.0,3508.5714285714284,-2.5062172189354897,1.1343663484005704,-1.9390340447352052,15660
15,3050.0,3470.0,-2.124784329812974,0.9876000341273068,-1.6309843127493207,16531
16,3300.0,3443.75,-2.124784329812974,0.9876000341273068,-1.6309843127493207,17395
17,3470.0,3435.294117647059,-2.124784329812974,0.9876000341273068,-1.6309843127493207,18353
18,4740.0,3437.222222222222,-2.2943611902184786,0.8940663883556988,-1.8473279960406295,20040
19,4500.0,3505.7894736842104,-2.5747333388775586,1.3232071036981317,-1.913129787028494,21496
20,3670.0,3555.5,-2.4239257080480456,1.0293780825632313,-1.9092366667664304,22856
21,4140.0,3560.9523809523807,-2.2897602134384214,1.554746275860595,-1.512387075508124,24612
22,3850.0,3587.2727272727275,-2.2897602134384214,1.554746275860595,-1.512387075508124,26016
23,3560.0,3598.695652173913,-2.2357899956405163,1.140714597728799,-1.6654326967761168,27166
24,3620.0,3597.0833333333335,-2.2357899956405163,1.140714597728799,-1.6654326967761168,28522
25,4290.0,3598.0,-2.2122756662778555,1.0292884212656879,-1.6976314556450096,29907
26,4220.0,3624.6153846153848,-2.5074245001189412,1.143653337142826,-1.9355978315475295,31730
27,2880.0,3646.6666666666665,-2.0963039180263876,1.4747282755219984,-1.3589397802653882,32882
28,4560.0,3619.285714285714,-2.0963039180263876,1.4747282755219984,-1.3589397802653882,34557
29,3640.0,3651.7241379310344,-2.660559004358947,1.0717780997553452,-2.124669954481275,35690
30,3160.0,3651.3333333333335,-2.660559004358947,1.0717780997553452,-2.124669954481275,36763
31,5590.0,3635.483870967742,-2.147036281507462,0.962211699198207,-1.6659304319083579,38570
