episode,score,avg_score,avg_actor_loss,avg_critic_loss,avg_total_loss,steps  taken
0,1300.0,0,0,0,0,1041
1,720.0,1300.0,0,0,0,1857
2,1110.0,1010.0,-3.479853709414601,7.7382365267504625,0.3892645539606312,2642
3,1580.0,1043.3333333333333,-3.479853709414601,7.7382365267504625,0.3892645539606312,3640
4,1120.0,1177.5,-3.3881840804591774,2.8571717226366515,-1.9595982191408523,4395
5,1680.0,1166.0,-3.3881840804591774,2.8571717226366515,-1.9595982191408523,5426
6,810.0,1251.6666666666667,-3.3480486458167436,3.5358171901075153,-1.5801400507629855,6206
7,1300.0,1188.5714285714287,-3.3480486458167436,3.5358171901075153,-1.5801400507629855,7090
8,720.0,1202.5,-3.3480486458167436,3.5358171901075153,-1.5801400507629855,7844
9,2040.0,1148.888888888889,-3.272680626437068,2.058455250926421,-2.243453000973857,9246
10,1170.0,1238.0,-3.272680626437068,2.058455250926421,-2.243453000973857,10127
11,1110.0,1231.8181818181818,-3.310050680767745,2.3390664923403106,-2.1405174345975917,10973
12,1020.0,1221.6666666666667,-3.310050680767745,2.3390664923403106,-2.1405174345975917,11811
13,1560.0,1206.1538461538462,-2.9815778216347097,1.9900215446450722,-1.9865670493121743,12965
14,1350.0,1231.4285714285713,-2.9815778216347097,1.9900215446450722,-1.9865670493121743,13981
15,1520.0,1239.3333333333333,-2.9116630405187607,3.1351198679612358,-1.3441031065381432,14853
16,1990.0,1256.875,-2.9116630405187607,3.1351198679612358,-1.3441031065381432,15950
17,600.0,1300.0,-3.1490418006666006,2.535928797600008,-1.8810774018665952,16538
18,1000.0,1261.111111111111,-3.1490418006666006,2.535928797600008,-1.8810774018665952,17202
19,3210.0,1247.3684210526317,-3.194695950858295,2.2933121990842893,-2.048039851316151,18902
20,1900.0,1345.5,-3.194695950858295,2.2933121990842893,-2.048039851316151,19780
21,1740.0,1371.904761904762,-3.3535935887135566,1.907000603862913,-2.4000932867820994,20926
22,2950.0,1388.6363636363637,-3.3535935887135566,1.907000603862913,-2.4000932867820994,22441
23,3580.0,1456.5217391304348,-3.2204162461683152,2.090820939490297,-2.175005776423166,24474
24,1220.0,1545.0,-3.084082998149097,2.6429067018021484,-1.7626296472480232,25397
